Title,Readership,Commants,PostingTime
股东有刘益谦的不要买，看看包钢和广晟两股票走势，惨,503,0,2023/12/31
银盏金茗跨年夜[鼓掌],472,0,2023/12/31
St股票停止交易，给定一个月整理起，不行直接退市，市,426,0,2023/12/31
6元下分批建仓长线持有。,409,0,2023/12/31
2020年收官了，12份收益7.43%,379,0,2023/12/31
牛市来了没？,379,0,2023/12/31
2020年价值投资不易，投资总资产总收益率为15.1%。十,673,0,2023/12/31
涨停几时有，把酒问青天，不知大盘走势，还能牛几年？,424,1,2023/12/31
今年在省广集团盈利最多，东风汽车也可以。,383,0,2023/12/31
最后一次银星吧发帖，但愿有实力的主力参与拉升银星，,360,0,2023/12/31
周一高开高走攻击3500,405,1,2023/12/31
今年收益[愉快],515,0,2023/12/31
一年前，我们满怀憧憬进入2020年，曾经想过不平凡，可,1551,29,2023/12/31
元旦快乐,356,0,2023/12/31
支持一叶！,364,0,2023/12/31
资本产生的同时利润会无声地诞生,404,1,2023/12/31
2021牛气冲天，,354,0,2023/12/31
2021年希望可以小赚一笔[加油],384,0,2023/12/31
中房股份在退市新规面前只有这一次重组机位了，目前来,887,0,2023/12/31
今天的打包天地板标志着情绪周期结束了，现在是推倒重,364,0,2023/12/31
富国基金经理斌管理的基金收益率水平太差了,488,0,2023/12/31
炒股5年一直在亏今年也不例外加油明年必有大肉[呲牙],522,0,2023/12/31
今年亏了6万，历时3年学费总共交了8万，还有无数时光,715,7,2023/12/31
今晚没有IPO了？,376,0,2023/12/31
辞旧迎新，不忘初心，继续前行,1068,16,2023/12/31
倒计时！开始5～4～3～2～2（此号作废，寅虎年见）[俏,1588,23,2023/12/31
模拟盘从来没输过[哭][哭][哭],627,1,2023/12/31
十二生肖没有熊，2021，牛牛牛，山河锦绣，国泰君安[,524,0,2023/12/31
2020.12.31股票池（个人认为国盛金控能破前期新高）,458,0,2023/12/31
兄弟姐妹们，我郑重宣布一件事情，这事我想了很久，炒,729,2,2023/12/31
说我打败97%股民不知道是不是真，2021加仓干,688,5,2023/12/31
基金比股票省心,494,0,2023/12/31
希望明年能转运,440,0,2023/12/31
从月K线上看，大盘硬从七月至本月活生生地震荡六个月,588,0,2023/12/31
在读的本科生大三了，时间挺多，走上了炒股这条路，我,1184,9,2023/12/31
最后一天没有完美收官就是青青，上了鬼子的当啊！,518,0,2023/12/31
大盘最后一天创新高，但多数个股却创了新低！,600,1,2023/12/31
感谢,517,2,2023/12/31
2020年完美落幕感恩这一年遇见大师兄，也算是个大收获,563,0,2023/12/31
2020年个人短线操作总结，今年整体短线波动（波动）太,493,0,2023/12/31
牛市的路上[微笑]一直看多，几个方面看……几年一次牛,604,0,2023/12/31
祝我在牛年牛气冲天[强壮][强壮]股票长红,476,0,2023/12/31
2020即将结束，无论这一年经历过多少风风雨雨，回忆过,669,0,2023/12/31
市场回调随时出现！所有股票都不安全！除了低位横盘个,591,0,2023/12/31
年底收官的意外收获,672,2,2023/12/31
