Title,Readership,Commants,PostingTime,Influence,SplitWords,Label
外债总计：200万。今日盈亏：十3700。收盘市值：0。当,17827,401,20200825,1304.737877,外债 总计 盈亏 十 收盘 市值,
《券商5月营收、净利排行榜》以下图表来自财联社2020.,1762,5,20200606,17.38610207,券商 营收 净利 排行榜 图表 财 联社,
能做到每周稳定盈利5%，一年就是10倍。,2620,9,20200613,30.44640545,每周 稳定 盈利 倍,
炒股是享受，亏钱也快乐（4.12晚）,19851,236,20210412,768.5042238,炒股 享受 亏钱 快乐 晚,
接下来指数会震荡摸年线？谁将是领涨板块？,2171,11,20221203,36.91783094,震荡 摸 年线 领涨,
2.23午间分享,13226,173,20220223,563.6925,午间 分享,
收评A股这么大的量能！  是要涨了还是风险来了？,7412,4,20210830,14.35447739,量 要涨 风险,
大盘即将暴跌，医药股持股过年，其他股票全部清仓。,1211,8,20200122,27.07910045,暴跌 股 过年 股票,
》强烈要求新股发行当天全流通！,1684,7,20180106,23.87921973,强烈要求 发行 当天 全流通,
芯片前面拉跨，周五反弹正式开始，大行情已来临,2104,5,20220626,17.41306601,芯片 拉 跨 周五 反弹 正式 来临,
何惧大盘洗盘呢[奸笑][奸笑][奸笑],1550,30,20210607,98.61661609,何惧 洗盘 奸笑 奸笑 奸笑,
【资金】ETF买，外资卖，上周房地产板块跑输大盘,1023,3,20220523,10.80345647,资金 ETF 外资 卖 跑输大盘,
反弹已经到位,91963,567,20200603,1844.487265,反弹 到位,
百万基金实盘|大龙6月9日基金操作分享 A股下周继续涨,2375,8,20220609,27.18148226,百万 基金 实盘 大龙 基金 操作 分享 涨,
对号入座，这里的“星宿老仙”丁春秋,8871,20,20190513,66.3817904,对号入座 星宿 老仙 丁春秋,
我已满仓军工，就这样，随便了。,1213,11,20220802,36.82935128,军工 随便,
治愈股毒：情绪周期理论（下）,1329,13,20220627,43.34323374,治愈 股毒 情绪 周期 理论,
从今天开始不在发短线差价操作，和抢反弹操作我发现多,2709,75,20210918,244.9514832,不在 发 短线 差价 操作 抢反弹 操作 发现,
外围大跌，今天能否低开高走？,3452,16,20220629,53.23832478,外围 大跌 低开 高走,
短_炒_狐_狸，让割肉，结果，上涨踏空了,1115,14,20210407,46.5665462,短 炒 狐 狸 割肉 上涨 踏空,
明天没啥说的了，最好3095（小概率），60分钟级别必须,3813,69,20220516,225.5034434,没 说 概率 分钟 级别,
说上小学时，股市3000点，上中学时股市3000点，上大学,1794,3,20180716,10.88883785,说 小学 股市 点上 中学 股市 点上 大学,
IPO助力任性周五红,16624,17,20180419,56.72725744,IPO 助力 任性 周五 红,
调整之后继续涨,1343,3,20220809,10.8448266,调整 涨,
明天中阳线,2356,6,20180916,20.68026135,阳线,
有些朋友看过我数千条技术分析图解，说太专业了，的确,3819,7,20200312,24.00368238,朋友 看过 数千条 技术分析 图解 说 太 专业,
说实话同志们，现在这个局面，除了抗住没什么新鲜的，,1830,9,20220930,30.39185788,说实话 同志 局面 抗住 没什么 新鲜,
晚间A股重要消息面解读！中信今天做空还是做多？,1938,4,20201015,14.15057382,晚间 消息面 解读 中信 做空 做多,
说大盘非理性跌？其实之前15年后大盘理性涨跌几个懂算,1164,10,20200309,33.57308354,说 非理性 跌 年后 理性 涨跌 几个 懂算,
兰馨A股通。兰馨亚洲被骗的小伙伴在哪里,1051,15,20210528,49.80756095,兰馨 通兰馨 亚洲 被骗,
卖了华阳集团挣7个点，准备下一票,1504,18,20211014,59.61203674,卖 华阳 挣 一票,
手头有股票的，共赴国难，怕也没用，机构主力大户都在,1037,5,20200201,17.30552256,手头 股票 共赴国难 怕 没用 机构 主力 大户,
周末消息利好板块梳理，上证指数筑底结构深度剖析,1670,4,20220227,14.12795076,消息 利好 梳理 筑底 结构 深度 剖析,
我怀疑我这个账号被主力盯住了，买什么就阴跌不止，割,2481,33,20200629,108.4381194,怀疑 账号 主力 盯住 阴跌 割,
弘度财经：坚定持股勇敢加仓【复盘】沪指跌1.21%，深,1866,3,20210303,10.89481907,弘度 财经 坚定 勇敢 复盘 沪 指跌 深,
有色，煤炭还是不做为好！,1206,6,20210901,20.57847156,做为,
A股探底回升，回调到位了吗？要不要加仓？,1660,11,20221020,36.87703783,回升 回调 到位,
红尘说：天天涨空仓真难受！,10407,47,20190329,154.1560639,红尘 说 天天 涨空 仓真 难受,
话说   大盘4.13盘前,17202,116,20220413,378.4824526,盘前,
4.7策略：又是吃面的一天，我继续加仓了！,2276,5,20220407,17.42501029,策略 吃面,
再次喊话，今天会如何表现？,2635,21,20220929,69.44727322,喊话 表现,
牛市里没有阴线就不叫牛市，牛市途中，不要为一根区区,7474,5,20180221,17.60574358,里 阴线 途中 一根 区区,
"五穷六绝七输光只会迟到,不会缺席",1384,23,20210615,75.84939763,五穷六绝 七 输光 只会 迟到 缺席,
今晚美股还大跌吧,1862,3,20190131,10.89449289,今晚 大跌,
最具爆发力的四条优质赛道和翻倍潜力的五大龙头股！！,2060,25,20220107,82.40985353,最具 爆发力 四条 优质 赛道 翻倍 潜力 五大 龙头股,
准确说是2300,1355,3,20200125,10.84617875,准确 说,
中午收盘！早盘A股终于硬气了一把，外围涨，我们也涨,1386,7,20211208,23.84961713,收盘 早盘 硬气 一把 外围 涨 涨,
当年参与股灾做空的和现在一直作恶的一个都不能留。散,2055,3,20190310,10.90948414,当年 参与 股灾 做空 作恶 留散,
YYT波动理论（独创）,2293,9,20190226,30.42614142,YYT 波动 理论 独创,
躺床上八天了八天了！,1972,12,20200131,40.15321742,躺 床上 八天 八天,
酷特，好独特！北大荒，你别慌！周末愉快[鼓掌][鼓掌],1687,33,20200725,108.3794903,酷特好 独特 你别 慌 愉快 鼓掌 鼓掌,
大盘走势分析收盘贴：1：今天大盘出来了一根大阴线，,18960,131,20201222,427.2472434,大盘走势 分析 收盘 贴 一根 阴线,
我们做股票的人一定知道股票市场有主力，主力会刻意误,2101,14,20191123,46.66284912,做股票 股票市场 主力 主力 刻意 误,
下周一股指绝处逢生高调突击3100,9712,5,20180628,17.64555804,下周一 股指 绝处逢生 高调 突击,
大盘、板块、个股谁重要？,2511,7,20220625,23.93994635,个股,
今天亏损4175心态又崩了。我的中信昨天刚卖。今天就大,5007,70,20200806,228.7948522,亏损 心态 崩 中信 刚卖,
忍了两天，开仓试错！,2694,5,20220729,17.45063916,忍 开仓 试错,
A股市场氢能源全产业链核心细分名单汇总！（深度好文,4009,6,20220830,20.76106262,氢 能源 全 产业链 核心 细分 名单 汇总 深度 好文,
上证50表演时间到了！坐等看戏！不过上证50是指数权重,11866,3,20191111,11.17600652,表演 时间 坐等 看戏 权重,
沪深大盘可能还有短线大回调！,2322,7,20220623,23.92805178,短线 回调,
我打算硬抗2800点位置可能的下杀，2850点，整理了一下,1036,12,20200426,40.05537591,打算 硬抗 位置 杀 整理,
药医疗大健康，绝对是长线首选板块。[色][色][财力][,2027,14,20221015,46.65739881,药 健康 长线 首选 色色 财力,
"求问，若一散户有2,3个亿，高抛低吸一个股，算违规操",14263,47,20190523,154.2039738,求问 散户 亿 高抛低吸 股算 违规 操,
今天亏损10979心态彻底崩了。上午把乱七八糟的票都卖,6868,93,20200908,303.5928906,亏损 心态 崩 乱七八糟 票 卖,
其实A股在1992年12月份至1994年12月份期间，是实行过T,1569,3,20200412,10.86846803,月份 月份 期间 实行 T,
还有谁，满仓基金,1245,26,20210227,85.58330927,基金,
会有V型反转吗？上午形成大长腿，有人又激动了，幻想V,1889,10,20210309,33.64668119,V 型 反转 大长 腿 有人 激动 幻想 V,
继续挖坑。其实，神机心里明白，喷我的人大多数都是不,8286,82,20200429,267.8714207,挖坑 神机 明白 喷,
这个奇怪现象，要引起关注,1679,11,20220929,36.87876774,奇怪 现象 关注,
【21.05.26】25万，玩了1.5年，总亏损4千,1460,18,20210526,59.6075235,万玩 总 亏损 千,
股友们，大家好，昨晚美国中概股网易有道大涨百分之二,1229,10,20200208,33.58134316,股友们 昨晚 美国 中概 股 网易 有道 大涨 百分之二,
感觉买股票就像坐电梯。姐姐难受，今早穿上大衣。让姐,3350,22,20190804,72.73376568,感觉 股票 坐电梯 姐姐 难受 今早 穿 大衣 姐,
大盘明天先向下再反弹，估计有两天反弹，再向下，想参,3037,9,20220712,30.46885568,先 向下 反弹 反弹 向下 想 参,
大盘仍将反复筑底，明天有望小阳报收。,1068,10,20210315,33.55999994,反复 筑底 有望 小阳 报收,
预测！明日震荡行情！依旧收于5日线！,1602,21,20220613,69.37163188,震荡 依旧 收于 日线,
习惯了早醒，打开手机看外围一片红，那咱更红[献花]这,4445,194,20220210,631.7767551,习惯 早醒 打开 手机 外围 红 更 红 献花,
元宇宙明天继续腾飞，信创二波即将开启。,2929,16,20221107,53.21335178,元 宇宙 腾飞 信 创二波 开启,
巨浪涛头说恐惧，听取哇声一片,5419,4,20180521,14.3068717,巨 浪涛 头 说 恐惧 听取 哇声,
